,,,,,,Value,Value,Val error,Val error
,,,,,,mean,std,mean,std
Experiment_id,Dataset,Training,Adaptation steps,Horizon,Vrae weight,,,,
HORIZON9_ABLATION,BATTERY,MMAML,1,10,0.0,0.003443716326728463,7.11240071366439e-05,0.003898078498120109,0.0003259820913108555
HORIZON9_ABLATION_1,BATTERY,MMAML,0,1,0.0,0.002668351959437132,0.00027060384121670606,,
HORIZON9_ABLATION_1,BATTERY,MMAML,0,10,0.0,0.00210218820720911,0.00023530090672703894,0.0024100929498672486,0.00027510772504020785
HORIZON9_ABLATION_1,BATTERY,MMAML,1,1,0.0,0.002312858309596777,0.0002575660648860411,,
HORIZON9_ABLATION_1,BATTERY,MMAML,1,10,0.0,0.001873683021403849,0.00026855305136623206,0.002184656704775989,0.0002939032848914302
NOISE10_ABLATION,BATTERY,MMAML,0,1,0.0,0.04142070685823759,0.006751138537337804,,
NOISE10_ABLATION,BATTERY,MMAML,0,10,0.0,0.040720696250597634,0.006142155602651461,0.0402456559240818,0.006478683126926339
NOISE10_ABLATION,BATTERY,MMAML,1,1,0.0,0.0031680079797903695,0.0002963542856047112,,
NOISE10_ABLATION,BATTERY,MMAML,1,10,0.0,0.0026392861424634853,0.00034738379809015456,0.0027755174475411573,0.0003418880858438142
NOISE10_ABLATION_1,BATTERY,MMAML,0,1,0.0,0.0028258309699594974,0.00023503379618981227,,
NOISE10_ABLATION_1,BATTERY,MMAML,0,10,0.0,0.0025828590150922537,0.0005160989139500666,0.00292147696018219,0.0006095071019453125
NOISE10_ABLATION_1,BATTERY,MMAML,1,1,0.0,0.002517487108707428,0.00022928269664824487,,
NOISE10_ABLATION_1,BATTERY,MMAML,1,10,0.0,0.002458536229096353,0.0005724273638561014,0.0027810997795313596,0.000696016746130318
NOISE10_ABLATION_2,BATTERY,MAML,0,1,-,0.002852914622053504,0.00010944327954542239,,
NOISE10_ABLATION_2,BATTERY,MAML,0,10,-,0.0020822569262236358,0.00012072182928638901,0.0023658030200749635,0.0001333010170005125
NOISE10_ABLATION_2,BATTERY,MAML,1,1,-,0.0025079462211579084,7.639994921189482e-05,,
NOISE10_ABLATION_2,BATTERY,MAML,1,10,-,0.0017667862121015787,8.554190894282513e-05,0.0020890100859105587,0.00010478816641125102
NOISE11_ABLATION,BATTERY,MMAML,0,1,0.0,0.04227062066396078,0.006585089654589171,,
NOISE11_ABLATION,BATTERY,MMAML,0,10,0.0,0.04134329408407211,0.007000123562606948,0.041557252407073975,0.007398945419978722
NOISE11_ABLATION,BATTERY,MMAML,1,1,0.0,0.0057501099072396755,0.00018012333142636343,,
NOISE11_ABLATION,BATTERY,MMAML,1,10,0.0,0.00528411924218138,0.0003248417258563277,0.005444635792324941,0.00012320960533823211
NOISE11_ABLATION_1,BATTERY,MMAML,0,1,0.0,0.00595808019861579,0.0006070390362147659,,
NOISE11_ABLATION_1,BATTERY,MMAML,0,10,0.0,0.005262045934796333,0.00034685242806205095,0.0056958950124681,0.00047697874808514523
NOISE11_ABLATION_1,BATTERY,MMAML,1,1,0.0,0.0052110920660197735,0.00020723424640359971,,
NOISE11_ABLATION_1,BATTERY,MMAML,1,10,0.0,0.00503756832331419,0.00045717952127411463,0.00533954594284296,0.0003524432572451281
NOISE11_ABLATION_2,BATTERY,MAML,0,1,-,0.004124355129897594,0.0003603821572689784,,
NOISE11_ABLATION_2,BATTERY,MAML,0,10,-,0.003382333135232329,0.0003937658801881637,0.003798740357160568,0.0004155051919855351
NOISE11_ABLATION_2,BATTERY,MAML,1,1,-,0.0036822155117988585,0.0003978466694286124,,
NOISE11_ABLATION_2,BATTERY,MAML,1,10,-,0.00296578430570662,0.00042736203232611827,0.003386345598846674,0.00045989152574250366
NOISE12_ABLATION,BATTERY,MMAML,0,1,0.0,0.050635370115439095,0.0013404502230920966,,
NOISE12_ABLATION,BATTERY,MMAML,0,10,0.0,0.04964196061094602,0.001674416127429975,0.05157721787691116,0.002245751458156513
NOISE12_ABLATION,BATTERY,MMAML,1,1,0.0,0.027792916322747867,0.002267956015456404,,
NOISE12_ABLATION,BATTERY,MMAML,1,10,0.0,0.028635919094085693,0.000958834295341068,0.030283959582448006,0.0018984035159995657
NOISE12_ABLATION_1,BATTERY,MMAML,0,1,0.0,0.051378095895051955,0.0017000256930980596,,
NOISE12_ABLATION_1,BATTERY,MMAML,0,10,0.0,0.04996238872408867,0.002946733087472989,0.05080797821283341,0.0014130912847122518
NOISE12_ABLATION_1,BATTERY,MMAML,1,1,0.0,0.047830994427204135,0.002843946625226751,,
NOISE12_ABLATION_1,BATTERY,MMAML,1,10,0.0,0.049697968363761905,0.00427558456937662,0.04982752427458763,0.003153976982417134
NOISE12_ABLATION_2,BATTERY,MAML,0,1,-,0.01623938512057066,0.006827881564261391,,
NOISE12_ABLATION_2,BATTERY,MAML,0,10,-,0.015490725636482239,0.007199220651627241,0.01581276338547468,0.006896028367104273
NOISE12_ABLATION_2,BATTERY,MAML,1,1,-,0.015825136005878447,0.0068546744680898905,,
NOISE12_ABLATION_2,BATTERY,MAML,1,10,-,0.015087857097387313,0.007214247918764978,0.015407906845211983,0.006927004127798615
NOISE1_ABLATION,HR,MMAML,0,1,0.0,0.05437894041339556,0.003041621343464467,,
NOISE1_ABLATION,HR,MMAML,0,10,0.0,0.07431218524773915,0.002156736259089701,0.07068416227897008,0.002546656081886298
NOISE1_ABLATION,HR,MMAML,1,1,0.0,0.04548502589265505,0.0021028201367388416,,
NOISE1_ABLATION,HR,MMAML,1,10,0.0,0.06865482777357101,0.0015883338149920967,0.06442315876483917,0.0013278334203185582
NOISE1_ABLATION_1,HR,MMAML,0,1,0.0,0.05389845371246338,0.0069339097020405345,,
NOISE1_ABLATION_1,HR,MMAML,0,10,0.0,0.07406066954135895,0.006582732025634263,0.06976752430200577,0.0013094698828750072
NOISE1_ABLATION_1,HR,MMAML,1,1,0.0,0.04633782580494881,0.0029124683575880396,,
NOISE1_ABLATION_1,HR,MMAML,1,10,0.0,0.0701547235250473,0.0043496004253064215,0.0644553154706955,0.0008021003144930751
NOISE1_ABLATION_2,HR,MAML,0,1,-,0.06501954048871994,0.0027639651103756042,,
NOISE1_ABLATION_2,HR,MAML,0,10,-,0.0676587998867035,0.0026757524933096544,0.09266178607940674,0.003258800143880765
NOISE1_ABLATION_2,HR,MAML,1,1,-,0.06245572343468666,0.003018765179982124,,
NOISE1_ABLATION_2,HR,MAML,1,10,-,0.07852710783481598,0.0035462569450122263,0.06620533168315887,0.001343368971245032
NOISE2_ABLATION,HR,MMAML,0,1,0.0,0.055768231550852455,0.0025254492579924338,,
NOISE2_ABLATION,HR,MMAML,0,10,0.0,0.07508166631062825,0.004000785696597982,0.07100004702806473,0.001623623467684078
NOISE2_ABLATION,HR,MMAML,1,1,0.0,0.0472310334444046,0.0011503819372678103,,
NOISE2_ABLATION,HR,MMAML,1,10,0.0,0.07000081986188889,0.003165469201069001,0.06515468408664067,0.0006723268442642934
NOISE2_ABLATION_1,HR,MMAML,0,1,0.0,0.049096443504095075,0.003040948576516468,,
