,Train,Test,Validation
0,0.0012695989571511745,0.001429301337338984,0.0008227337384596467
1,0.0011191588127985597,0.001143125002272427,0.0009726384887471795
2,0.0011524177389219403,0.0012047491036355495,0.000980529235675931
3,0.0011739442124962807,0.0010751766385510564,0.0010393571574240923
4,0.0010705046588554978,0.0011346046812832355,0.0010848927777260542
5,0.0010929242707788944,0.0008632424287497997,0.0011386275291442871
6,0.001122477580793202,0.0009218896739184856,0.001122599933296442
7,0.001149542280472815,0.000988738494925201,0.0011654493864625692
8,0.0011852397583425045,0.0010645681759342551,0.00121236068662256
9,0.0010977640049532056,0.0009701339877210557,0.0012485947227105498
10,0.0011196297127753496,0.0010313980747014284,0.0011637973366305232
11,0.0011461572721600533,0.0010209080064669251,0.0011855328921228647
12,0.001180233433842659,0.0010021035559475422,0.0011196313425898552
13,0.0012230232823640108,0.0010767386993393302,0.0011590274516493082
14,0.0012651861179620028,0.0010238051181659102,0.0011000632075592875
15,0.0012213218724355102,0.0009947165381163359,0.0011328416876494884
16,0.0012228174600750208,0.000977744348347187,0.001163005013950169
17,0.0012190630659461021,0.0010211776243522763,0.0011628505308181047
18,0.0012638703919947147,0.0010595994535833597,0.0011055003851652145
